reporting_line_key,reporting_line_name,display_order,account_code,component_name,presentation_multiplier,mapping_version,status,source_url
total_assets,Total assets,1,1000000009,Realizable assets,1,2026-08-11-v1,certified,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?numero=4858&tipo=RESOLU%C3%87%C3%83O+CMN
total_assets,Total assets,1,2000000008,Permanent assets,1,2026-08-11-v1,certified,https://www.bcb.gov.br/estabilidadefinanceira/exibenormativo?numero=4858&tipo=RESOLU%C3%87%C3%83O+CMN
credit_portfolio,Credit portfolio,2,1600000007,Credit operations,1,2026-08-11-v1,certified,https://www3.bcb.gov.br/aplica/cosif/manual/0902177186b8924c.htm
credit_portfolio,Credit portfolio,2,1700000000,Leasing operations,1,2026-08-11-v1,certified,https://www3.bcb.gov.br/aplica/cosif/manual/0902177186b2cd96.htm
credit_portfolio,Credit portfolio,2,1810000000,Other credit-granting operations,1,2026-08-11-v1,certified,https://www3.bcb.gov.br/aplica/cosif/manual/0902177186c57977.htm
deposits,Deposits,3,4100000009,Deposits,1,2026-08-11-v1,certified,https://www3.bcb.gov.br/aplica/cosif/manual/0902177186a43406.htm
equity,Equity,4,6000000004,Equity,1,2026-08-11-v1,certified,https://www3.bcb.gov.br/aplica/cosif/manual/09021771869a0357.htm
