report_period,freeze_rank,institution_cnpj,institution_name,document_code,realizable_assets_brl,permanent_assets_brl,total_assets_brl,source_checksum
202601,6,33657248,BNDES,4010,856566780583.02,107827800471.14,964394581054.16,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,7,30306294,BANCO BTG PACTUAL S.A.,4010,569596226175.34,91348512298.86,660944738474.20,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,4010,268536136384.23,199224432788.06,467760569172.29,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,9,58160789,BCO SAFRA S.A.,4010,250494484291.60,10788843116.22,261283327407.82,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,10,01181521,BCO COOPERATIVO SICREDI S.A.,4010,229951356628.78,287473285.68,230238829914.46,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,11,33264668,BCO XP S.A.,4010,207401862310.30,18351423958.54,225753286268.84,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,12,02038232,BANCO SICOOB S.A.,4010,193647447485.35,1729527397.67,195376974883.02,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,13,33479023,BCO CITIBANK S.A.,4010,173903767002.79,653171642.22,174556938645.01,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,14,92702067,BCO DO ESTADO DO RS S.A.,4010,158957128217.14,5272750843.65,164229879060.79,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202601,15,59588111,BCO VOTORANTIM S.A.,4010,136260571214.48,6908312677.90,143168883892.38,d99a014547ae7a433e11bb01c2c2c5236394328e9ddfc23b7edf28608723828d
202602,1,00000000,BCO DO BRASIL S.A.,4010,2326211520322.99,83024930795.39,2409236451118.38,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,2,00360305,CAIXA ECONOMICA FEDERAL,4010,2191980638987.17,26423370414.33,2218404009401.50,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,3,60701190,ITAÚ UNIBANCO S.A.,4010,1953907597277.62,183898529402.38,2137806126680.00,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,4,60746948,BCO BRADESCO S.A.,4010,1683210486219.61,153935698883.86,1837146185103.47,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,5,90400888,BCO SANTANDER (BRASIL) S.A.,4010,1063915773160.49,103923162889.78,1167838936050.27,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,6,33657248,BNDES,4010,857446944342.41,111029010454.28,968475954796.69,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,7,30306294,BANCO BTG PACTUAL S.A.,4010,553505695502.93,91415594290.57,644921289793.50,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,4010,267972893167.83,200501883722.32,468474776890.15,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,9,58160789,BCO SAFRA S.A.,4010,252146751344.43,10880274312.67,263027025657.10,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,10,01181521,BCO COOPERATIVO SICREDI S.A.,4010,228144422573.77,289571887.42,228433994461.19,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,11,33264668,BCO XP S.A.,4010,200339184652.67,18609789852.34,218948974505.01,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,12,02038232,BANCO SICOOB S.A.,4010,194149429496.02,1757997159.63,195907426655.65,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,13,33479023,BCO CITIBANK S.A.,4010,160130132883.02,671062532.63,160801195415.65,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,14,92702067,BCO DO ESTADO DO RS S.A.,4010,159196832112.45,5325857537.96,164522689650.41,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202602,15,59588111,BCO VOTORANTIM S.A.,4010,139619429419.06,6940283259.38,146559712678.44,42b895b9ac76dbd855a5ad8e93909bcf6594a318620de0e3c35e1d0f6e580958
202603,1,00000000,BCO DO BRASIL S.A.,4010,2409477025240.00,84597526587.91,2494074551827.91,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,2,00360305,CAIXA ECONOMICA FEDERAL,4010,2314331876412.94,27091461894.47,2341423338307.41,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,3,60701190,ITAÚ UNIBANCO S.A.,4010,1977786100833.08,186611163549.04,2164397264382.12,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,4,60746948,BCO BRADESCO S.A.,4010,1770702036575.05,155605328911.65,1926307365486.70,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,5,90400888,BCO SANTANDER (BRASIL) S.A.,4010,1108085717450.60,105353973904.74,1213439691355.34,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,6,33657248,BNDES,4010,874633270285.35,118358411557.50,992991681842.85,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,7,30306294,BANCO BTG PACTUAL S.A.,4010,564922202070.08,92086483407.53,657008685477.61,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,8,60872504,ITAÚ UNIBANCO HOLDING S.A.,4010,270566128911.56,201765924280.40,472332053191.96,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,9,58160789,BCO SAFRA S.A.,4010,257603353273.97,11014901748.53,268618255022.50,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,10,01181521,BCO COOPERATIVO SICREDI S.A.,4010,227659154859.88,300482058.32,227959636918.20,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,11,33264668,BCO XP S.A.,4010,207730126020.72,18506682427.36,226236808448.08,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,12,02038232,BANCO SICOOB S.A.,4010,201995363841.80,1798768523.19,203794132364.99,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,13,33479023,BCO CITIBANK S.A.,4010,168510712750.51,704054826.25,169214767576.76,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,14,92702067,BCO DO ESTADO DO RS S.A.,4010,158918280419.38,5286396389.00,164204676808.38,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
202603,15,59588111,BCO VOTORANTIM S.A.,4010,137744517768.50,7000144807.96,144744662576.46,7182290443ade7d8de26c8e0522ac2ae946a754f88065037725421b32441571d
